municipio;regiao;idh;ifdm;pib
Alta Floresta D'Oeste;Cacoal;0.641;0.6337;496000
Alto Alegre dos Parecis;Cacoal;0.592;0.5046;213410
Alto Paraíso;Ariquemes;0.625;0.5735;358000
Alvorada D'Oeste;Ji-Paraná;0.643;0.5919;204098
Ariquemes;Ariquemes;0.702;0.7746;2579830
Buritis;Ariquemes;0.616;0.6199;726000
Cabixi;Vilhena;0.650;0.5887;113031
Cacaulândia;Ariquemes;0.646;0.5721;116635
Cacoal;Cacoal;0.718;0.7111;2261644
Campo Novo de Rondônia;Ariquemes;0.593;0.5272;208821
Candeias do Jamari;Porto Velho;0.649;0.6199;548000
Castanheiras;Cacoal;0.658;0.5430;59779
Cerejeiras;Vilhena;0.692;0.6137;507000
Chupinguaia;Vilhena;0.652;0.6766;190331
Colorado do Oeste;Vilhena;0.685;0.6473;335000
Corumbiara;Vilhena;0.613;0.5759;188218
Costa Marques;Ji-Paraná;0.611;0.5626;171878
Cujubim;Ariquemes;0.612;0.5055;385000
Espigão D'Oeste;Cacoal;0.672;0.5973;625000
Governador Jorge Teixeira;Jaru;0.596;0.4562;148027
Guajará-Mirim;Porto Velho;0.657;0.5541;893000
Itapuã do Oeste;Porto Velho;0.614;0.5903;129351
Jaru;Jaru;0.689;0.6450;1500890
Ji-Paraná;Ji-Paraná;0.714;0.7117;3783972
Machadinho D'Oeste;Jaru;0.596;0.5322;633000
Ministro Andreazza;Cacoal;0.638;0.5657;174633
Mirante da Serra;Ji-Paraná;0.643;0.5519;163955
Monte Negro;Ariquemes;0.607;0.6016;219152
Nova Brasilândia D'Oeste;Cacoal;0.643;0.5857;360000
Nova Mamoré;Porto Velho;0.587;0.5084;529000
Nova União;Ji-Paraná;0.587;0.5571;92346
Novo Horizonte do Oeste;Cacoal;0.634;0.5858;129399
Ouro Preto do Oeste;Ji-Paraná;0.682;0.6261;834000
Parecis;Cacoal;0.617;0.5502;80759
Pimenta Bueno;Cacoal;0.710;0.7383;1164877
Pimenteiras do Oeste;Vilhena;0.665;0.6501;76756
Porto Velho;Porto Velho;0.736;0.7257;17912070
Presidente Médici;Ji-Paraná;0.664;0.6140;428000
Primavera de Rondônia;Cacoal;0.641;0.6384;52908
Rio Crespo;Ariquemes;0.643;0.6430;76854
Rolim de Moura;Cacoal;0.700;0.6785;1283434
Santa Luzia D'Oeste;Cacoal;0.670;0.6850;135934
São Felipe D'Oeste;Cacoal;0.649;0.6153;72084
São Francisco do Guaporé;Ji-Paraná;0.611;0.6214;353000
São Miguel do Guaporé;Ji-Paraná;0.646;0.6699;616000
Seringueiras;Ji-Paraná;0.598;0.5922;169429
Teixeirópolis;Ji-Paraná;0.643;0.6500;72089
Theobroma;Jaru;0.589;0.5405;140601
Urupá;Ji-Paraná;0.609;0.6006;172143
Vale do Anari;Jaru;0.584;0.5710;105208
Vale do Paraíso;Ji-Paraná;0.627;0.5818;116742
Vilhena;Vilhena;0.731;0.7465;2831175
